DescricaoTaxaPerformance__c;DescricaoTributacao__c;FamiliaCarteira__c;FiltroValorMinimo__c;ProdutoId;LucroMesAnterior__c;PatrimonioLiquidoAtual__c;RentabilidadeAno__c;RentabilidadeFundoUltimos36Meses__c;RentabilidadeMes__c;RiscoAtivo__c;TipoCarteira__c
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdFiREAV;-406.629;477977616.01;18.441.288;2.388.155.912;18.848.683;3.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdFwxEAF;68.441.006;6.404.199.623.059;30.815.622.000.000.000;71.402.509;238.085.732;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;10000.0;a0W3u00000AdFxlEAF;178.541.155;179529566.85;432.504.944;1.225.728.064;249.509.026;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdGFTEA3;93.394.023;228020745.56;109.718.568;279.326.729;16.173.494;3.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000AdGFdEAN;46.466.868;190794749.12;55.202.555;2.734.905.951;8.695.283;2.0;FIC de Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGGREA3;41.322.378;410303702.19;41.280.307;2.382.085.079;-41.898;4.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000AdGGqEAN;90.011.608;1067949885.2;282.804.536;9.775.060.498;191.073.048;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGTbEAN;52.222.803;182335517.88;62.373.027;3.624.016.731;10.097.492;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;500.0;a0W3u00000AdGbzEAF;50.208.478;282839130.63;55.153.547;246.217.581;4.920.365;2.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGc4EAF;-5.959.455;91543743.95;16.018.463;2.691.527.322;21.991.024;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do IBRX 100;15%;Renda Variável;20000.0;a0W3u00000AdGc9EAF;-154.717.368;213438379.36;15.152.387;8.289.534.028;172.539.237;5.0;Fundo de Ações
20% sobre o que exceder a 100% do IRFM + 1;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGcxEAF;125.760.148;379978489.75;168.296.021;530.700.181;42.007.585;4.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGdCEAV;-2.601.701;664748224.96;50.665.849;6.067.247.921;53.281.413;5.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do IMAB-5;Come Cotas;Renda Fixa;500.0;a0W3u00000AdGdREAV;94.918.651;533873716.51;107.003.106;4.066.620.578;1.197.083;5.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B5;15%;Renda Variável;20000.0;a0W3u00000AdGe0EAF;563.031.375;32.508.234.231.005;714.071.742;0.0;142.989.604;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W3u00000AdGgBEAV;-133.214.624;1084148361.74;-98.123.235;0.0;3.556.517;4.0;FIC de Fundo Multimercado
Não;15%;Renda Variável;20000.0;a0W3u00000AdGgQEAV;501.527.319;350223701.01;756.650.669;0.0;242.939.281;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGoWEAV;43.405.702;2214119468.23;46.518.546;2.482.830.471;309.939;4.0;FIC de Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdGobEAF;33.023.424;60895814.63;37.466.195;2.176.327.187;4.428.148;3.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGogEAF;50.522.677;35193194.04;5.426.141.999.999.990;0.0;3.719.948;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGp5EAF;64.258.343;35196453.91;68.700.671;0.0;4.413.965;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B5;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGuAEAV;-498.427.728;97015995.92;-252.671.545;0.0;258.647.912;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGvIEAV;-24.061.239;29332390.18;-195.563.769;0.0;46.159.269.999.999.900;5.0;FIC de Fundo Multimercado
15% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGwLEAV;337.390.134;991953692.93;465.333.596;-1.040.077.939;123.767.663;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGwVEAV;-159.579.646;763390222.04;-105.702.173;3.433.072.977;5.475.119;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdGwkEAF;-101.533.415;282196067.16;-64.547.055;2.862.469.769;37.365.747;4.0;FIC de Fundo Multimercado
Não;15%;Renda Variável;5000.0;a0W3u00000AdGx9EAF;-112.676.362;189423788.0;67.543.388;8.471.418.398;182.273.542;5.0;FIC de Fundo de Ações
15% sobre o que exceder a 100% do IMA-G;15%;Renda Variável;5000.0;a0W3u00000AdGxEEAV;63.540.425;209849277.14;232.946.628;9.793.654.554;168.336.585;5.0;FIC de Fundo de Ações
10% sobre o que exceder a 100% do IPCA + YIELD do IMA-B5;15%;Renda Variável;5000.0;a0W3u00000AdGztEAF;88.889.351;113951820.83;32.171.377;9.440.190.761;230.773.091;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdH5SEAV;47.931.808;90676467.11;273.762.591;9.897.049.768;2.247.535;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;10000.0;a0W3u00000AdH6BEAV;-248.062.827;223937631.2;-37.750.873;0.0;215.661.719;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdHICEA3;139.746;8.048.192.350.036;20.062.869;0.0;200.486.142;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000AdHIMEA3;47.725.103;45451432.53;59.046.579;0.0;11.267.701;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B;Come Cotas;Renda Fixa;10000.0;a0W3u00000AdHIREA3;190.361.423;7380722.2;305.124.918;0.0;112.619.652;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdHIgEAN;-51.081.827;88071838.11;-76.873.188;227.262.715;-25.923.784;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdHJtEAN;74.429.377;31322669.83;-64.980.778;2.313.814.782;-1.383.802;4.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdHK3EAN;46.410.531;262557547.54;50.066.246;2.341.856.576;3.638.827;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B;15%;Renda Variável;5000.0;a0W3u00000AdHSHEA3;51.474.279;159665311.12;16.650.596.999.999.900;0.0;114.442.607;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdHSREA3;62.183.848;750219381.11;75.536.752;3.258.242.614;13.270.384;3.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;20000.0;a0W3u00000AdHWyEAN;-66.926.807;3799054673.29;218.193;14.446.343.884;67.597.408;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W3u00000AdHYkEAN;-58.939.386;274647217.39;-76.742.076;2.877.365.846;-17.908.241;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdHaWEAV;255.658.577;1306999219.68;448.535.152;0.0;188.068.444;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000AdHagEAF;-12.955.566;113878238.3;-57.702.604;2.003.004.927;72.796.171;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W3u00000AdHikEAF;7.403.247;13240865.83;82.826.609;0.0;8.729.512;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;15%;Renda Variável;1000.0;a0W3u00000AdHizEAF;12.769.821;425599374.57;67.372.343;4.378.971.169;54.532.884;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdHlKEAV;134.759.535;98044010.09;234.390.182;0.0;98.305.881;5.0;FIC de Fundo de Ações
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdJjVEAV;110.372.444;108309943.44;108.919.829;0.0;-1.436.757;4.0;Fundo Multimercado
Não;Come Cotas;Renda Fixa;100.0;a0W3u00000AdJk9EAF;47.794.058;15406580.69;50.958.757;0.0;3.149.646;4.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;100.0;a0W3u00000AdJkEEAV;43.260.846;129874826.21;50.394.545;2.462.016.809;7.102.971;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdJt1EAF;47.587.099;8277176.43;51.122.007;0.0;3.518.166;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdJt6EAF;32.794.751;426445424.88;34.147.144;0.0;1.347.972;5.0;Fundo de Renda Fixa
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdJtBEAV;45.548.990.000.000.000;2460230190.89;49.445.919;0.0;3.879.259;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBRX;15%;Renda Variável;5000.0;a0W3u00000AdKAqEAN;191.878.628;151189033.65;432.803.724;9.323.339.612;236.389.291;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBRX;15%;Renda Variável;10000.0;a0W3u00000AdKNzEAN;228.273.857;136690890.27;352.221.653;9.658.391.771;121.181.538;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IMA-B;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdKOYEA3;31.271.879;266943618.4;364.010.695;8.722.730.217;49.736.549;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdKOdEAN;1.835.557;3343256386.6;48.862.833;4.533.034.039;30.451.368;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdKOiEAN;18.788.463;365097714.9;34.546.088;3.019.936.151;15.728.074;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdKOsEAN;-78.783.287;248100542.05;-81.916.603;3.245.323.362;-3.158.198;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdKZREA3;141.608.332;192376733.7;378.781.259;11.463.150.651;233.861.258;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdKZqEAN;512.906.387;301199535.98;714.912.399;8.662.743.598;192.150.491;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IGPM + 6%;15%;Renda Variável;5000.0;a0W3u00000AdKZvEAN;454.245.281;72318942.98;641.676.891;9.443.684.129;179.287.557;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBRX;15%;Renda Variável;5000.0;a0W3u00000AdKeHEAV;211.371.729;757338789.59;472.032.133;15.129.075.894;255.264.827;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdKfUEAV;-542.387.741;385877995.68;-838.235.249;3.889.413.692;-312.814.165;4.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdKfeEAF;-166.397.852;47427189.22;-268.496.729;0.0;-103.826.527;4.0;Fundo Multimercado
20% sobre o que exceder a 100% do IBRX;15%;Renda Variável;5000.0;a0W3u00000AdKg3EAF;-143.706.761;401209338.16;-53.701.858;11.103.650.192;91.317.192;5.0;Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;10000.0;a0W3u00000AdKoMEAV;107.159.908;88127291.41;289.517.991;10.268.697.294;180.424.654;5.0;Fundo de Ações
20% sobre o que exceder a 100% do IPCA + 6%;15%;Renda Variável;10000.0;a0W3u00000AdKoWEAV;281.469.786;199578893.67;422.021.458;830.256.666;136.703.871;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + X%;15%;Renda Variável;20000.0;a0W3u00000AdKwBEAV;455.783.379;735453172.29;660.570.154;10.983.435.324;19.585.981;5.0;FIC de Fundo de Ações
Não;15%;Renda Variável;20000.0;a0W3u00000AdKwaEAF;518.149.204;348098473.99;700.626.936;11.675.184.696;173.488.443;5.0;Fundo de Ações
20% sobre o que exceder a 100% do IBRX;15%;Renda Variável;5000.0;a0W3u00000AdL7sEAF;-271.226.021;123108626.18;12.221.596;10.810.750.113;291.349.781;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;500.0;a0W3u00000AdL87EAF;52.070.526;588557027.54;53.223.048;2.371.191.004;1.146.552;3.0;Fundo de Renda Fixa
15% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000AdLF8EAN;1.030.488;264981393.16;210.403.979;19.837.775.423;209.351.918;5.0;Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdLFDEA3;123.545.157;94824445.53;323.072.001;9.882.955.538;197.091.869;5.0;Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000AdLQ6EAN;-21.001.226;148825503.19;-527.578;7.654.060.268;209.128.433;5.0;Fundo de Ações
Não;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdLgkEAF;42.131.203;3165354944.09;45.498.474;25.960.971;3.353.144;3.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdLnREAV;44.801.098;575586178.85;48.420.561;0.0;3.603.319;4.0;Fundo de Renda Fixa
15% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdLnWEAV;154.907.971;84740578.84;384.529.527;12.114.193.668;226.118.796;5.0;Fundo de Ações
20% sobre o que exceder a 104% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdMSVEA3;52.201.411;1246974063.0;55.958.436;2.643.471.305;3.737.514;4.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdMTJEA3;54.453.519;27835445.64;63.558.201;237.960.065;9.055.373;3.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IMAB5;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdMUCEA3;80.423.395;64948951.92;96.912.568;3.648.504.309;1.635.762;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBRX;15%;Renda Variável;10000.0;a0W3u00000AdMUbEAN;517.561.027;1460269817.62;809.401.616;14.127.820.714;277.479.341;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;500.0;a0W3u00000AdMZREA3;46.461.238;4225694911.92;49.963.182;2.336.742.674;3.485.748;3.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000AdMatEAF;119.737.198;839891538.01;166.658.045;0.0;46.365.677;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdMbNEAV;74.442.615;104106709.12;99.118.727;0.0;24.493.773;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000AdMqnEAF;134.458.246;177908483.39;292.305.407;16.567.965.897;155.752.935;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000AdMzqEAF;-6.205.655;427055200.01;-11.853.126;0.0;50.516.915;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;50000.0;a0W3u00000AdNDnEAN;29.581.223;170319127.46;48.601.715;324.922.225;18.964.393;4.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;500.0;a0W3u00000AdNpmEAF;-46.103.856;12955869.31;63.986.009;0.0;110.599.773;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000AdO5lEAF;266.809.246;8.676.734.441.042;4.123.895;8.355.844.871;141.796.979;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdO6yEAF;-2.510.134;52418542.56;16.726.960.000.000.000;2.677.941.459;19.241.924;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IVBX2;15%;Renda Variável;1000.0;a0W3u00000AdO7DEAV;958.843.602;17.795.090.892.097;977.605.568;18.115.156.648;17.120.388;5.0;Fundo de Ações
Não;Come Cotas;Renda Fixa;500.0;a0W3u00000AdO7IEAV;18.250.878;27022608.62;92.745.384;6.885.810.167;74.358.794;4.0;FIC de Fundo Multimercado
