,label_cli,ProdutoId,Unnamed: 0,DescontoIR__c,DescricaoCarencia__c,DescricaoEmissor__c,DescricaoProduto__c,DiasVencimento__c,FiltroValorMinimo__c,RiscoAtivo__c,TaxaEmissao__c,TaxaPreEmissao__c,TipoIndexador__c,Indice_Basileia,Indice_Imobilizacao,label
35,4,a0W3u000009PDq1EAG,15,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,90.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
36,5,a0W3u000009PDq1EAG,15,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,90.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
37,6,a0W3u000009PDq1EAG,15,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,90.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
38,0,a0W3u000009PDq6EAG,16,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,180.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
39,1,a0W3u000009PDq6EAG,16,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,180.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
40,2,a0W3u000009PDq6EAG,16,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,180.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
41,3,a0W3u000009PDq6EAG,16,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,180.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
42,4,a0W3u000009PDq6EAG,16,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,180.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
43,5,a0W3u000009PDq6EAG,16,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,180.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
44,6,a0W3u000009PDq6EAG,16,22.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,180.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
45,0,a0W3u000009PDqBEAW,17,20.0,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,360.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
46,1,a0W3u000009PDqBEAW,17,20.0,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,360.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
47,2,a0W3u000009PDqBEAW,17,20.0,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,360.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
48,3,a0W3u000009PDqBEAW,17,20.0,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,360.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
49,4,a0W3u000009PDqBEAW,17,20.0,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,360.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
