,label_cli,ProdutoId,Unnamed: 0,DescricaoTaxaPerformance__c,DescricaoTributacao__c,FamiliaCarteira__c,FiltroValorMinimo__c,LucroMesAnterior__c,PatrimonioLiquidoAtual__c,RentabilidadeAno__c,RentabilidadeFundoUltimos36Meses__c,RentabilidadeMes__c,RiscoAtivo__c,TipoCarteira__c,label
29,0,a0W3u000009PE5fEAG,13,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,30000.0,52621277.0,181473856053597.0,55320016.0,2530796619.0,2684612.0,3.0,FIC de Fundo de Renda Fixa,1
30,1,a0W3u000009PE5fEAG,13,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,30000.0,52621277.0,181473856053597.0,55320016.0,2530796619.0,2684612.0,3.0,FIC de Fundo de Renda Fixa,1
31,2,a0W3u000009PE5fEAG,13,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,30000.0,52621277.0,181473856053597.0,55320016.0,2530796619.0,2684612.0,3.0,FIC de Fundo de Renda Fixa,1
32,3,a0W3u000009PE5fEAG,13,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,30000.0,52621277.0,181473856053597.0,55320016.0,2530796619.0,2684612.0,3.0,FIC de Fundo de Renda Fixa,1
33,4,a0W3u000009PE5fEAG,13,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,30000.0,52621277.0,181473856053597.0,55320016.0,2530796619.0,2684612.0,3.0,FIC de Fundo de Renda Fixa,1
34,5,a0W3u000009PE5fEAG,13,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,30000.0,52621277.0,181473856053597.0,55320016.0,2530796619.0,2684612.0,3.0,FIC de Fundo de Renda Fixa,1
35,6,a0W3u000009PE5fEAG,13,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,30000.0,52621277.0,181473856053597.0,55320016.0,2530796619.0,2684612.0,3.0,FIC de Fundo de Renda Fixa,1
36,0,a0W3u000009PE6YEAW,14,20% sobre o que exceder a 100% do IMA-B5,Come Cotas,Renda Fixa,50000.0,48299084.0,6418558314.0,58633625.0,385331063.0,10284866.0,3.0,FIC de Fundo de Renda Fixa,1
37,1,a0W3u000009PE6YEAW,14,20% sobre o que exceder a 100% do IMA-B5,Come Cotas,Renda Fixa,50000.0,48299084.0,6418558314.0,58633625.0,385331063.0,10284866.0,3.0,FIC de Fundo de Renda Fixa,1
38,2,a0W3u000009PE6YEAW,14,20% sobre o que exceder a 100% do IMA-B5,Come Cotas,Renda Fixa,50000.0,48299084.0,6418558314.0,58633625.0,385331063.0,10284866.0,3.0,FIC de Fundo de Renda Fixa,1
39,4,a0W3u000009PE6YEAW,14,20% sobre o que exceder a 100% do IMA-B5,Come Cotas,Renda Fixa,50000.0,48299084.0,6418558314.0,58633625.0,385331063.0,10284866.0,3.0,FIC de Fundo de Renda Fixa,1
40,5,a0W3u000009PE6YEAW,14,20% sobre o que exceder a 100% do IMA-B5,Come Cotas,Renda Fixa,50000.0,48299084.0,6418558314.0,58633625.0,385331063.0,10284866.0,3.0,FIC de Fundo de Renda Fixa,1
41,6,a0W3u000009PE6YEAW,14,20% sobre o que exceder a 100% do IMA-B5,Come Cotas,Renda Fixa,50000.0,48299084.0,6418558314.0,58633625.0,385331063.0,10284866.0,3.0,FIC de Fundo de Renda Fixa,1
42,0,a0W3u000009PE8yEAG,15,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,8059038.0,7886436609.0,194721516.0,7750520875.0,186512167.0,5.0,FIC de Fundo de Ações,0
43,1,a0W3u000009PE8yEAG,15,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,8059038.0,7886436609.0,194721516.0,7750520875.0,186512167.0,5.0,FIC de Fundo de Ações,0
44,2,a0W3u000009PE8yEAG,15,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,8059038.0,7886436609.0,194721516.0,7750520875.0,186512167.0,5.0,FIC de Fundo de Ações,0
45,3,a0W3u000009PE8yEAG,15,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,8059038.0,7886436609.0,194721516.0,7750520875.0,186512167.0,5.0,FIC de Fundo de Ações,0
46,4,a0W3u000009PE8yEAG,15,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,8059038.0,7886436609.0,194721516.0,7750520875.0,186512167.0,5.0,FIC de Fundo de Ações,0
47,5,a0W3u000009PE8yEAG,15,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,8059038.0,7886436609.0,194721516.0,7750520875.0,186512167.0,5.0,FIC de Fundo de Ações,0
48,6,a0W3u000009PE8yEAG,15,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,8059038.0,7886436609.0,194721516.0,7750520875.0,186512167.0,5.0,FIC de Fundo de Ações,0
