,DescricaoTaxaPerformance__c,DescricaoTributacao__c,FamiliaCarteira__c,FiltroValorMinimo__c,ProdutoId,LucroMesAnterior__c,PatrimonioLiquidoAtual__c,RentabilidadeAno__c,RentabilidadeFundoUltimos36Meses__c,RentabilidadeMes__c,RiscoAtivo__c,TipoCarteira__c,label
72,Não,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdHK3EAN,46410531.0,26255754754.0,50066246.0,2341856576.0,3638827.0,3.0,Fundo de Renda Fixa,1
73,20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B,15%,Renda Variável,50000.0,a0W3u00000AdHSHEA3,51474279.0,15966531112.0,1.66505969999999e+16,0.0,114442607.0,5.0,FIC de Fundo de Ações,0
74,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdHSREA3,62183848.0,75021938111.0,75536752.0,3258242614.0,13270384.0,3.0,FIC de Fundo Multimercado,1
75,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,200000.0,a0W3u00000AdHWyEAN,-66926807.0,379905467329.0,218193.0,14446343884.0,67597408.0,5.0,FIC de Fundo de Ações,2
76,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,200000.0,a0W3u00000AdHYkEAN,-58939386.0,27464721739.0,-76742076.0,2877365846.0,-17908241.0,4.0,FIC de Fundo Multimercado,2
77,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdHaWEAV,255658577.0,130699921968.0,448535152.0,0.0,188068444.0,5.0,FIC de Fundo Multimercado,0
78,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,100000.0,a0W3u00000AdHagEAF,-12955566.0,1138782383.0,-57702604.0,2003004927.0,72796171.0,4.0,FIC de Fundo Multimercado,1
79,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,200000.0,a0W3u00000AdHikEAF,7403247.0,1324086583.0,82826609.0,0.0,8729512.0,4.0,FIC de Fundo de Renda Fixa,2
80,20% sobre o que exceder a 100% do CDI,15%,Renda Variável,10000.0,a0W3u00000AdHizEAF,12769821.0,42559937457.0,67372343.0,4378971169.0,54532884.0,5.0,FIC de Fundo de Ações,0
81,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdHlKEAV,134759535.0,9804401009.0,234390182.0,0.0,98305881.0,5.0,FIC de Fundo de Ações,0
82,10% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdJjVEAV,110372444.0,10830994344.0,108919829.0,0.0,-1436757.0,4.0,Fundo Multimercado,1
83,Não,Come Cotas,Renda Fixa,1000.0,a0W3u00000AdJk9EAF,47794058.0,1540658069.0,50958757.0,0.0,3149646.0,4.0,Fundo de Renda Fixa,1
84,Não,Come Cotas,Renda Fixa,1000.0,a0W3u00000AdJkEEAV,43260846.0,12987482621.0,50394545.0,2462016809.0,7102971.0,3.0,Fundo de Renda Fixa,1
85,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdJt1EAF,47587099.0,827717643.0,51122007.0,0.0,3518166.0,4.0,FIC de Fundo de Renda Fixa,1
86,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdJt6EAF,32794751.0,42644542488.0,34147144.0,0.0,1347972.0,5.0,Fundo de Renda Fixa,0
87,10% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdJtBEAV,4.554899e+16,246023019089.0,49445919.0,0.0,3879259.0,3.0,Fundo de Renda Fixa,1
88,20% sobre o que exceder a 100% do IBRX,15%,Renda Variável,50000.0,a0W3u00000AdKAqEAN,191878628.0,15118903365.0,432803724.0,9323339612.0,236389291.0,5.0,FIC de Fundo de Ações,0
89,20% sobre o que exceder a 100% do IBRX,15%,Renda Variável,100000.0,a0W3u00000AdKNzEAN,228273857.0,13669089027.0,352221653.0,9658391771.0,121181538.0,5.0,FIC de Fundo de Ações,0
90,20% sobre o que exceder a 100% do IMA-B,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdKOYEA3,31271879.0,2669436184.0,364010695.0,8722730217.0,49736549.0,5.0,FIC de Fundo Multimercado,0
91,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdKOdEAN,1835557.0,33432563866.0,48862833.0,4533034039.0,30451368.0,5.0,FIC de Fundo Multimercado,0
92,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdKOiEAN,18788463.0,3650977149.0,34546088.0,3019936151.0,15728074.0,4.0,FIC de Fundo Multimercado,1
93,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdKOsEAN,-78783287.0,24810054205.0,-81916603.0,3245323362.0,-3158198.0,4.0,FIC de Fundo Multimercado,1
94,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdKZREA3,141608332.0,1923767337.0,378781259.0,11463150651.0,233861258.0,5.0,FIC de Fundo de Ações,0
95,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdKZqEAN,512906387.0,30119953598.0,714912399.0,8662743598.0,192150491.0,5.0,FIC de Fundo de Ações,0
96,20% sobre o que exceder a 100% do IGPM + 6%,15%,Renda Variável,50000.0,a0W3u00000AdKZvEAN,454245281.0,7231894298.0,641676891.0,9443684129.0,179287557.0,5.0,FIC de Fundo de Ações,0
97,20% sobre o que exceder a 100% do IBRX,15%,Renda Variável,50000.0,a0W3u00000AdKeHEAV,211371729.0,75733878959.0,472032133.0,15129075894.0,255264827.0,5.0,FIC de Fundo de Ações,0
98,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdKfUEAV,-542387741.0,38587799568.0,-838235249.0,3889413692.0,-312814165.0,4.0,Fundo Multimercado,1
99,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdKfeEAF,-166397852.0,4742718922.0,-268496729.0,0.0,-103826527.0,4.0,Fundo Multimercado,1
100,20% sobre o que exceder a 100% do IBRX,15%,Renda Variável,50000.0,a0W3u00000AdKg3EAF,-143706761.0,40120933816.0,-53701858.0,11103650192.0,91317192.0,5.0,Fundo de Ações,0
101,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,a0W3u00000AdKoMEAV,107159908.0,8812729141.0,289517991.0,10268697294.0,180424654.0,5.0,Fundo de Ações,0
102,20% sobre o que exceder a 100% do IPCA + 6%,15%,Renda Variável,100000.0,a0W3u00000AdKoWEAV,281469786.0,19957889367.0,422021458.0,830256666.0,136703871.0,5.0,FIC de Fundo de Ações,0
103,20% sobre o que exceder a 100% do IPCA + X%,15%,Renda Variável,200000.0,a0W3u00000AdKwBEAV,455783379.0,73545317229.0,660570154.0,10983435324.0,19585981.0,5.0,FIC de Fundo de Ações,2
104,Não,15%,Renda Variável,200000.0,a0W3u00000AdKwaEAF,518149204.0,34809847399.0,700626936.0,11675184696.0,173488443.0,5.0,Fundo de Ações,2
105,20% sobre o que exceder a 100% do IBRX,15%,Renda Variável,50000.0,a0W3u00000AdL7sEAF,-271226021.0,12310862618.0,12221596.0,10810750113.0,291349781.0,5.0,Fundo de Ações,0
106,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,5000.0,a0W3u00000AdL87EAF,52070526.0,58855702754.0,53223048.0,2371191004.0,1146552.0,3.0,Fundo de Renda Fixa,1
107,15% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,a0W3u00000AdLF8EAN,1030488.0,26498139316.0,210403979.0,19837775423.0,209351918.0,5.0,Fundo de Ações,0
108,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdLFDEA3,123545157.0,9482444553.0,323072001.0,9882955538.0,197091869.0,5.0,Fundo de Ações,0
109,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,a0W3u00000AdLQ6EAN,-21001226.0,14882550319.0,-527578.0,7654060268.0,209128433.0,5.0,Fundo de Ações,0
110,Não,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdLgkEAF,42131203.0,316535494409.0,45498474.0,25960971.0,3353144.0,3.0,Fundo de Renda Fixa,1
111,Não,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdLnREAV,44801098.0,57558617885.0,48420561.0,0.0,3603319.0,4.0,Fundo de Renda Fixa,1
112,15% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdLnWEAV,154907971.0,8474057884.0,384529527.0,12114193668.0,226118796.0,5.0,Fundo de Ações,0
113,20% sobre o que exceder a 104% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdMSVEA3,52201411.0,12469740630.0,55958436.0,2643471305.0,3737514.0,4.0,FIC de Fundo Multimercado,1
114,Não,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdMTJEA3,54453519.0,2783544564.0,63558201.0,237960065.0,9055373.0,3.0,FIC de Fundo Multimercado,1
115,20% sobre o que exceder a 100% do IMAB5,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdMUCEA3,80423395.0,6494895192.0,96912568.0,3648504309.0,1635762.0,4.0,FIC de Fundo Multimercado,1
116,20% sobre o que exceder a 100% do IBRX,15%,Renda Variável,100000.0,a0W3u00000AdMUbEAN,517561027.0,146026981762.0,809401616.0,14127820714.0,277479341.0,5.0,FIC de Fundo de Ações,0
117,Não,Come Cotas,Renda Fixa,5000.0,a0W3u00000AdMZREA3,46461238.0,422569491192.0,49963182.0,2336742674.0,3485748.0,3.0,FIC de Fundo de Renda Fixa,1
118,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,100000.0,a0W3u00000AdMatEAF,119737198.0,83989153801.0,166658045.0,0.0,46365677.0,5.0,FIC de Fundo Multimercado,0
119,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdMbNEAV,74442615.0,10410670912.0,99118727.0,0.0,24493773.0,4.0,FIC de Fundo Multimercado,1
120,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,a0W3u00000AdMqnEAF,134458246.0,17790848339.0,292305407.0,16567965897.0,155752935.0,5.0,FIC de Fundo de Ações,0
121,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,100000.0,a0W3u00000AdMzqEAF,-6205655.0,42705520001.0,-11853126.0,0.0,50516915.0,4.0,FIC de Fundo Multimercado,1
122,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,500000.0,a0W3u00000AdNDnEAN,29581223.0,17031912746.0,48601715.0,324922225.0,18964393.0,4.0,FIC de Fundo Multimercado,2
123,Não,Come Cotas,Renda Fixa,5000.0,a0W3u00000AdNpmEAF,-46103856.0,1295586931.0,63986009.0,0.0,110599773.0,5.0,FIC de Fundo Multimercado,0
124,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,a0W3u00000AdO5lEAF,266809246.0,8676734441042.0,4123895.0,8355844871.0,141796979.0,5.0,FIC de Fundo de Ações,0
125,Não,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdO6yEAF,-2510134.0,5241854256.0,1.672696e+16,2677941459.0,19241924.0,4.0,FIC de Fundo Multimercado,1
126,20% sobre o que exceder a 100% do IVBX2,15%,Renda Variável,10000.0,a0W3u00000AdO7DEAV,958843602.0,17795090892097.0,977605568.0,18115156648.0,17120388.0,5.0,Fundo de Ações,0
127,Não,Come Cotas,Renda Fixa,5000.0,a0W3u00000AdO7IEAV,18250878.0,2702260862.0,92745384.0,6885810167.0,74358794.0,4.0,FIC de Fundo Multimercado,1
128,Não,Come Cotas,Renda Fixa,5000.0,a0W3u00000AdOBNEA3,31936446.0,3898684259.0,71210367.0,5268533744.0,39148894.0,3.0,FIC de Fundo Multimercado,1
129,Não,Come Cotas,Renda Fixa,1000.0,a0W3u00000AdOHLEA3,40697418.0,4138986989.0,44499209.0,258779195.0,3786382.0,4.0,FIC de Fundo de Renda Fixa,1
