,DescontoIR__c,DescricaoCarencia__c,DescricaoEmissor__c,DescricaoProduto__c,DiasVencimento__c,FiltroValorMinimo__c,ProdutoId,RiscoAtivo__c,TaxaEmissao__c,TaxaPreEmissao__c,TipoIndexador__c,Indice_Basileia,Indice_Imobilizacao,label
70,17.5,No venc.,BANCO GMAC S.A.,CDB POS,361.0,1000.0,a0W3u00000CWFVOEA5,1.0,104.0,0.0,CDI,0.2441,0.0638,4
71,15.0,No venc.,BANCO GMAC S.A.,CDB POS,721.0,1000.0,a0W3u00000CWFVTEA5,1.0,105.0,0.0,CDI,0.2441,0.0638,4
72,15.0,No venc.,BANCO GMAC S.A.,CDB POS,1081.0,1000.0,a0W3u00000CWFVYEA5,2.0,106.0,0.0,CDI,0.2441,0.0638,4
73,22.5,No venc.,BANCO BS2 S.A.,CDB POS 1,90.0,1000.0,a0W3u00000CWGX6EAP,2.0,108.0,0.0,CDI,0.1132,0.1739,4
74,20.0,No venc.,BANCO ORIGINAL S.A,LCA POS,360.0,5000.0,a0W3u00000CWGXBEA5,2.0,99.0,0.0,CDI,0.1364,0.0418,4
75,22.5,No venc.,BANCO ORIGINAL S.A,LCA POS,101.0,5000.0,a0W3u00000CWGXGEA5,2.0,96.0,0.0,CDI,0.1364,0.0418,4
76,17.5,No venc.,BANCO FIBRA S.A.,LCA POS,367.0,10000.0,a0W3u00000CWGgIEAX,3.0,100.0,0.0,CDI,0.1202,0.0211,1
77,15.0,No venc.,BANCO PINE S.A.,CDB POS,1081.0,5000.0,a0W3u00000CWGhBEAX,3.0,127.0,0.0,CDI,0.1232,0.2278,0
78,15.0,No venc.,BANCO PINE S.A.,CDB POS,1440.0,5000.0,a0W3u00000CWGhGEAX,3.0,127.0,0.0,CDI,0.1232,0.2278,0
79,15.0,No venc.,BANCO PINE S.A.,CDB POS,1802.0,5000.0,a0W3u00000CWGhLEAX,4.0,127.0,0.0,CDI,0.1232,0.2278,3
80,17.5,No venc.,BANCO ABC BRASIL,LCA PRE,720.0,10000.0,a0W3u00000CWHSpEAP,2.0,0.0,4.95,Pré fixado,0.1741,0.0053,1
81,17.5,No venc.,BANCO AGIBANK S.A.,CDB POS,361.0,1000.0,a0W3u00000CWHqDEAX,2.0,114.0,0.0,CDI,0.1333,0.051,4
82,20.0,No venc.,BANCO SANTANDER (BRASIL) S.A.,LCA POS,181.0,1000.0,a0W3u00000CWIGuEAP,1.0,86.0,0.0,CDI,0.1624,0.0989,4
83,20.0,No venc.,BANCO INDUSVAL S.A.,CDB POS,181.0,5000.0,a0W3u00000CWJ7eEAH,3.0,115.0,0.0,CDI,0.0197,1.0,4
84,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,721.0,1000.0,a0W3u00000CWJ7oEAH,5.0,100.0,2.25,,0.0322,0.2625,2
85,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1081.0,1000.0,a0W3u00000CWJ7yEAH,5.0,100.0,2.5,,0.0322,0.2625,2
86,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1440.0,1000.0,a0W3u00000CWJ8mEAH,5.0,100.0,3.0,,0.0322,0.2625,3
87,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1802.0,1000.0,a0W3u00000CWJ91EAH,5.0,100.0,4.0,,0.0322,0.2625,3
88,22.5,No venc.,BANCO RODOBENS S.A.,LCI POS,90.0,10000.0,a0W3u00000CWJAxEAP,1.0,98.0,0.0,CDI,0.1587,0.3428,1
89,17.5,No venc.,FACTA FINANCEIRA S.A,LC POS,361.0,5000.0,a0W3u00000CWLhmEAH,5.0,128.0,0.0,CDI,0.2109,0.0562,2
90,15.0,No venc.,FACTA FINANCEIRA S.A,LC POS,721.0,5000.0,a0W3u00000CWLhrEAH,5.0,130.0,0.0,CDI,0.2109,0.0562,2
91,15.0,No venc.,FACTA FINANCEIRA S.A,LC POS,1081.0,5000.0,a0W3u00000CWLhwEAH,5.0,132.0,0.0,CDI,0.2109,0.0562,2
92,15.0,No venc.,FACTA FINANCEIRA S.A,LC POS,1440.0,5000.0,a0W3u00000CWLi1EAH,5.0,134.0,0.0,CDI,0.2109,0.0562,3
93,15.0,No venc.,FACTA FINANCEIRA S.A,LC POS,1802.0,5000.0,a0W3u00000CWLiBEAX,5.0,136.0,0.0,CDI,0.2109,0.0562,3
94,15.0,No venc.,BANCO BS2 S.A.,CDB POS,1081.0,1000.0,a0W3u00000CWMOHEA5,3.0,100.0,1.25,,0.1132,0.1739,0
95,20.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,181.0,1000.0,a0W3u00000CWMmYEAX,5.0,127.0,0.0,CDI,0.0322,0.2625,2
96,17.5,No venc.,BANCO TOPAZIO S/A,CDB POS,361.0,1000.0,a0W3u00000CWNjSEAX,2.0,124.0,0.0,CDI,0.1337,0.0213,4
97,15.0,No venc.,BANCO TOPAZIO S/A,CDB POS,721.0,1000.0,a0W3u00000CWNjXEAX,3.0,129.0,0.0,CDI,0.1337,0.0213,4
98,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS,721.0,1000.0,a0W3u00000CWNsPEAX,5.0,100.0,0.0,CDI,0.0322,0.2625,2
99,15.0,No venc.,SANTANA FINANCEIRA SA,LC POS,721.0,5000.0,a0W3u00000CWNxMEAX,5.0,130.0,0.0,CDI,0.2792,0.0116,2
100,15.0,No venc.,SANTANA FINANCEIRA SA,LC POS,1081.0,5000.0,a0W3u00000CWNxREAX,5.0,132.0,0.0,CDI,0.2792,0.0116,2
101,17.5,No venc.,SOROCRED S/A,LC POS,361.0,1000.0,a0W3u00000CWNzwEAH,5.0,123.0,0.0,CDI,0.1173,0.0164,2
102,15.0,No venc.,SOROCRED S/A,LC POS,721.0,1000.0,a0W3u00000CWO06EAH,5.0,131.0,0.0,CDI,0.1173,0.0164,2
103,20.0,No venc.,BANCO BOCOM BBM S/A,CDB POS,181.0,10000.0,a0W3u00000CWOdUEAX,2.0,106.0,0.0,CDI,0.1581,0.0134,1
