DescontoIR__c;DescricaoCarencia__c;DescricaoEmissor__c;DescricaoProduto__c;DiasVencimento__c;FiltroValorMinimo__c;RiscoAtivo__c;TaxaEmissao__c;TaxaPreEmissao__c;TipoIndexador__c
15.0;No venc.;BANCO FIBRA S.A.;CDB POS;1461.0;10000.0;3.0;121.0;0.0;CDI
15.0;No venc.;BANCO FIBRA S.A.;CDB POS;1826.0;10000.0;4.0;122.0;0.0;CDI
22.5;No venc.;BANCO FIBRA S.A.;LCA POS;122.0;10000.0;2.0;98.0;0.0;CDI
20.0;No venc.;BANCO FIBRA S.A.;LCA POS;210.0;10000.0;2.0;99.0;0.0;CDI
17.5;No venc.;BANCO FATOR S.A.;CDB PRE;361.0;10000.0;0.0;0.0;4.4;Pré fixado
17.5;No venc.;BANCO PINE S.A.;CDB PRE;361.0;5000.0;2.0;0.0;4.57;Pré fixado
15.0;No venc.;BANCO MÁXIMA S.A.;CDB PRE 1;2520.0;1000.0;5.0;0.0;10.0;Pré fixado
17.5;No venc.;CARUANA S.A.;LC PRE;367.0;1000.0;2.0;0.0;5.25;Pré fixado
17.5;No venc.;CARUANA S.A.;LC PRE;549.0;1000.0;2.0;0.0;5.65;Pré fixado
20.0;No venc.;CARUANA S.A.;LC PRE;185.0;1000.0;2.0;0.0;4.75;Pré fixado
15.0;No venc.;CARUANA S.A.;LC PRE;731.0;1000.0;2.0;0.0;6.1;Pré fixado
15.0;No venc.;CARUANA S.A.;LC PRE;913.0;1000.0;2.0;0.0;6.45;Pré fixado
15.0;No venc.;BANCO ORIGINAL S.A;CDB POS;721.0;5000.0;2.0;118.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC PRE;1460.0;1000.0;3.0;0.0;7.35;Pré fixado
15.0;No venc.;CARUANA S.A.;LC PRE;1825.0;1000.0;3.0;0.0;7.75;Pré fixado
17.5;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;361.0;1000.0;5.0;100.0;2.0;
17.5;No venc.;BANCO GMAC S.A.;CDB POS;361.0;1000.0;1.0;104.0;0.0;CDI
15.0;No venc.;BANCO GMAC S.A.;CDB POS;721.0;1000.0;1.0;105.0;0.0;CDI
15.0;No venc.;BANCO GMAC S.A.;CDB POS;1081.0;1000.0;2.0;106.0;0.0;CDI
22.5;No venc.;BANCO BS2 S.A.;CDB POS 1;90.0;1000.0;2.0;108.0;0.0;CDI
20.0;No venc.;BANCO ORIGINAL S.A;LCA POS;360.0;5000.0;2.0;99.0;0.0;CDI
22.5;No venc.;BANCO ORIGINAL S.A;LCA POS;101.0;5000.0;2.0;96.0;0.0;CDI
17.5;No venc.;BANCO FIBRA S.A.;LCA POS;367.0;10000.0;3.0;100.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB POS;1081.0;5000.0;3.0;127.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB POS;1440.0;5000.0;3.0;127.0;0.0;CDI
15.0;No venc.;BANCO PINE S.A.;CDB POS;1802.0;5000.0;4.0;127.0;0.0;CDI
17.5;No venc.;BANCO ABC BRASIL;LCA PRE;720.0;10000.0;2.0;0.0;4.95;Pré fixado
17.5;No venc.;BANCO AGIBANK S.A.;CDB POS;361.0;1000.0;2.0;114.0;0.0;CDI
20.0;No venc.;BANCO SANTANDER (BRASIL) S.A.;LCA POS;181.0;1000.0;1.0;86.0;0.0;CDI
20.0;No venc.;BANCO INDUSVAL S.A.;CDB POS;181.0;5000.0;3.0;115.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;721.0;1000.0;5.0;100.0;2.25;
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1081.0;1000.0;5.0;100.0;2.5;
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1440.0;1000.0;5.0;100.0;3.0;
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;1802.0;1000.0;5.0;100.0;4.0;
22.5;No venc.;BANCO RODOBENS S.A.;LCI POS;90.0;10000.0;1.0;98.0;0.0;CDI
17.5;No venc.;FACTA FINANCEIRA S.A;LC POS;361.0;5000.0;5.0;128.0;0.0;CDI
15.0;No venc.;FACTA FINANCEIRA S.A;LC POS;721.0;5000.0;5.0;130.0;0.0;CDI
15.0;No venc.;FACTA FINANCEIRA S.A;LC POS;1081.0;5000.0;5.0;132.0;0.0;CDI
15.0;No venc.;FACTA FINANCEIRA S.A;LC POS;1440.0;5000.0;5.0;134.0;0.0;CDI
15.0;No venc.;FACTA FINANCEIRA S.A;LC POS;1802.0;5000.0;5.0;136.0;0.0;CDI
15.0;No venc.;BANCO BS2 S.A.;CDB POS;1081.0;1000.0;3.0;100.0;1.25;
20.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;181.0;1000.0;5.0;127.0;0.0;CDI
17.5;No venc.;BANCO TOPAZIO S/A;CDB POS;361.0;1000.0;2.0;124.0;0.0;CDI
15.0;No venc.;BANCO TOPAZIO S/A;CDB POS;721.0;1000.0;3.0;129.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS;721.0;1000.0;5.0;100.0;0.0;CDI
15.0;No venc.;SANTANA FINANCEIRA SA;LC POS;721.0;5000.0;5.0;130.0;0.0;CDI
15.0;No venc.;SANTANA FINANCEIRA SA;LC POS;1081.0;5000.0;5.0;132.0;0.0;CDI
17.5;No venc.;SOROCRED S/A;LC POS;361.0;1000.0;5.0;123.0;0.0;CDI
15.0;No venc.;SOROCRED S/A;LC POS;721.0;1000.0;5.0;131.0;0.0;CDI
20.0;No venc.;BANCO BOCOM BBM S/A;CDB POS;181.0;10000.0;2.0;106.0;0.0;CDI
17.5;No venc.;BANCO BOCOM BBM S/A;CDB POS;361.0;10000.0;2.0;108.0;0.0;CDI
20.0;No venc.;BANCO BOCOM BBM S/A;LCA POS;185.0;10000.0;1.0;98.0;0.0;CDI
17.5;No venc.;BANCO BOCOM BBM S/A;LCA POS;364.0;10000.0;2.0;100.0;0.0;CDI
15.0;No venc.;BANCO BOCOM BBM S/A;LCA POS;731.0;10000.0;2.0;101.0;0.0;CDI
15.0;No venc.;BANCO BOCOM BBM S/A;LCA POS;1081.0;10000.0;2.0;102.0;0.0;CDI
15.0;No venc.;BANCO AGIBANK S.A.;CDB POS;1081.0;1000.0;3.0;100.0;1.42;
15.0;No venc.;BANCO AGIBANK S.A.;CDB POS;1442.0;1000.0;3.0;100.0;1.59;
17.5;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;361.0;1000.0;5.0;140.0;0.0;CDI
15.0;No venc.;BANCO MÁXIMA S.A.;CDB POS 1;721.0;1000.0;5.0;140.0;0.0;CDI
17.5;No venc.;AGORACRED S.A.;LC POS;361.0;10000.0;5.0;114.0;0.0;CDI
15.0;No venc.;AGORACRED S.A.;LC POS;721.0;10000.0;5.0;127.0;0.0;CDI
15.0;No venc.;AGORACRED S.A.;LC POS;1081.0;10000.0;5.0;130.0;0.0;CDI
15.0;No venc.;AGORACRED S.A.;LC POS;1440.0;10000.0;5.0;131.0;0.0;CDI
