"ProdutoId";"TipoCarteira__c";"NomeInvestimento__c"
a0W3u000009PC10EAG;"";CDB
a0W3u000009PC15EAG;"";CDB
a0W3u000009PC1AEAW;"";CDB
a0W3u000009PC1FEAW;"";CDB
a0W3u000009PC1KEAW;"";CDB
a0W3u000009PC8gEAG;"";LCA
a0W3u000009PC8lEAG;"";CDB
a0W3u000009PC8qEAG;"";CDB
a0W3u000009PC8vEAG;"";CDB
a0W3u000009PC90EAG;"";CDB
a0W3u000009PC95EAG;"";CDB
a0W3u000009PC9AEAW;"";CDB
a0W3u000009PC9FEAW;"";CDB
a0W3u000009PC9KEAW;"";CDB
a0W3u000009PC9PEAW;"";CDB
a0W3u000009PC9UEAW;"";CDB
a0W3u000009PC9ZEAW;"";CDB
a0W3u000009PC9eEAG;"";CDB
a0W3u000009PC9jEAG;"";CDB
a0W3u000009PC9oEAG;"";CDB
a0W3u000009PC9tEAG;"";CDB
a0W3u000009PC9yEAG;"";CDB
a0W3u000009PCA3EAO;"";CDB
a0W3u000009PCA8EAO;"";CDB
a0W3u000009PCADEA4;"";CDB
a0W3u000009PCAIEA4;"";CDB
a0W3u000009PCANEA4;"";CDB
a0W3u000009PCASEA4;"";CDB
a0W3u000009PCAXEA4;"";CDB
a0W3u000009PCAcEAO;"";CDB
a0W3u000009PCAhEAO;"";CDB
a0W3u000009PCAmEAO;"";CDB
a0W3u000009PCArEAO;"";CDB
a0W3u000009PCAwEAO;"";CDB
a0W3u000009PCB1EAO;"";CDB
a0W3u000009PCB6EAO;"";CDB
a0W3u000009PCBBEA4;"";CDB
a0W3u000009PCBLEA4;"";CDB
a0W3u000009PCBQEA4;"";CDB
a0W3u000009PCBVEA4;"";CDB
a0W3u000009PCBaEAO;"";CDB
a0W3u000009PCBfEAO;"";CDB
a0W3u000009PCBkEAO;"";CDB
a0W3u000009PCBpEAO;"";LCI
a0W3u000009PCBuEAO;"";LCI
a0W3u000009PCBzEAO;"";LCI
a0W3u000009PCC4EAO;"";CDB
a0W3u000009PCC9EAO;"";CDB
a0W3u000009PCCEEA4;"";CDB
a0W3u000009PCCJEA4;"";CDB
a0W3u000009PCHOEA4;"";CDB
a0W3u000009PCHTEA4;"";CDB
a0W3u000009PCHYEA4;"";CDB
a0W3u000009PCHdEAO;"";CDB
a0W3u000009PCHiEAO;"";CDB
a0W3u000009PCHnEAO;"";CDB
a0W3u000009PCHsEAO;"";CDB
a0W3u000009PCHxEAO;"";CDB
a0W3u000009PCI2EAO;"";CDB
a0W3u000009PCI7EAO;"";CDB
a0W3u000009PCICEA4;"";CDB
a0W3u000009PCIHEA4;"";CDB
a0W3u000009PCIIEA4;"";CDB
a0W3u000009PCIMEA4;"";CDB
a0W3u000009PCKWEA4;"";CDB
a0W3u000009PCKbEAO;"";CDB
a0W3u000009PCKgEAO;"";CDB
a0W3u000009PCKlEAO;"";CDB
a0W3u000009PCKvEAO;"";CDB
a0W3u000009PCL0EAO;"";CDB
a0W3u000009PCL5EAO;"";CDB
a0W3u000009PCLAEA4;"";CDB
a0W3u000009PCLFEA4;"";CDB
a0W3u000009PCLKEA4;"";CDB
a0W3u000009PCLPEA4;"";CDB
a0W3u000009PCLUEA4;"";CDB
a0W3u000009PCLZEA4;"";CDB
a0W3u000009PCLeEAO;"";LCA
a0W3u000009PCLjEAO;"";LCI
a0W3u000009PCLoEAO;"";LCI
a0W3u000009PCLtEAO;"";CDB
a0W3u000009PCLyEAO;"";CDB
a0W3u000009PCM3EAO;"";CDB
a0W3u000009PCMDEA4;"";CDB
a0W3u000009PCMIEA4;"";CDB
a0W3u000009PCMNEA4;"";CDB
a0W3u000009PCMSEA4;"";CDB
a0W3u000009PCMXEA4;"";CDB
a0W3u000009PCOHEA4;"";CDB
a0W3u000009PCObEAO;"";CDB
a0W3u000009PCWMEA4;"";CDB
a0W3u000009PCWREA4;"";CDB
a0W3u000009PCWWEA4;"";CDB
a0W3u000009PCWbEAO;"";CDB
a0W3u000009PCWgEAO;"";CDB
a0W3u000009PCWlEAO;"";CDB
a0W3u000009PCWqEAO;"";CDB
a0W3u000009PCWvEAO;"";CDB
a0W3u000009PCX0EAO;"";CDB
a0W3u000009PCX5EAO;"";CDB
a0W3u000009PCXAEA4;"";LCA
a0W3u000009PCXFEA4;"";LCA
a0W3u000009PCXKEA4;"";CDB
a0W3u000009PCXPEA4;"";CDB
a0W3u000009PCXUEA4;"";CDB
a0W3u000009PCXZEA4;"";CDB
a0W3u000009PCXeEAO;"";CDB
a0W3u000009PCXjEAO;"";CDB
a0W3u000009PCXoEAO;"";CDB
a0W3u000009PCXtEAO;"";CDB
a0W3u000009PCXyEAO;"";LCA
a0W3u000009PCY3EAO;"";LCA
a0W3u000009PCY8EAO;"";LCA
a0W3u000009PCYDEA4;"";CDB
a0W3u000009PCYIEA4;"";CDB
a0W3u000009PCYNEA4;"";CDB
a0W3u000009PCYSEA4;"";CDB
a0W3u000009PCYcEAO;"";LCI
a0W3u000009PCYhEAO;"";CDB
a0W3u000009PCYmEAO;"";LCA
a0W3u000009PCYrEAO;"";LCA
a0W3u000009PCgiEAG;FIC de Fundo de Ações;SQUADRA LONG-BIASED FIC FIA
a0W3u000009PCjNEAW;FIC de Fundo de Ações;SQUADRA LONG-ONLY FIC FIA
a0W3u000009PCpEEAW;"";CDB
a0W3u000009PCpJEAW;"";CDB
a0W3u000009PCpOEAW;"";CDB
a0W3u000009PCpTEAW;"";CDB
a0W3u000009PCpYEAW;"";CDB
a0W3u000009PCpdEAG;"";CDB
a0W3u000009PCpiEAG;"";CDB
a0W3u000009PCpsEAG;"";CDB
a0W3u000009PCpxEAG;"";CDB
a0W3u000009PCq2EAG;"";CDB
a0W3u000009PCq7EAG;"";CDB
a0W3u000009PCqCEAW;"";CDB
a0W3u000009PCqHEAW;"";CDB
a0W3u000009PCqMEAW;"";CDB
a0W3u000009PCqREAW;"";CDB
a0W3u000009PCqWEAW;"";CDB
a0W3u000009PCqbEAG;"";CDB
a0W3u000009PCqgEAG;"";CDB
a0W3u000009PCqlEAG;"";CDB
a0W3u000009PCqqEAG;"";LCI
a0W3u000009PCqvEAG;"";LCI
a0W3u000009PCr0EAG;"";CDB
a0W3u000009PCr5EAG;"";CDB
a0W3u000009PCrAEAW;"";CDB
a0W3u000009PCrFEAW;"";CDB
a0W3u000009PCrPEAW;"";LCA
a0W3u000009PCrZEAW;"";LCA
a0W3u000009PCreEAG;"";LCA
a0W3u000009PCrjEAG;"";LCI
a0W3u000009PCrtEAG;FIC de Fundo de Ações;BOGARI VALUE D FIC FIA
a0W3u000009PCs3EAG;FIC de Fundo de Ações;KIRON FIC FIA
a0W3u000009PCs8EAG;Fundo de Ações;KIRON INSTITUCIONAL FIA
a0W3u000009PCtGEAW;"";CDB
a0W3u000009PD65EAG;"";CDB
a0W3u000009PD6AEAW;"";CDB
a0W3u000009PD6FEAW;"";CDB
a0W3u000009PD6KEAW;"";CDB
a0W3u000009PD6PEAW;"";CDB
a0W3u000009PD6UEAW;"";CDB
a0W3u000009PD6ZEAW;"";CDB
a0W3u000009PD6eEAG;"";CDB
a0W3u000009PD6oEAG;"";CDB
a0W3u000009PD6tEAG;"";CDB
a0W3u000009PD6yEAG;"";CDB
a0W3u000009PD73EAG;"";CDB
a0W3u000009PD78EAG;"";CDB
a0W3u000009PD7DEAW;"";CDB
a0W3u000009PD7IEAW;"";CDB
a0W3u000009PD7NEAW;"";CDB
a0W3u000009PD7SEAW;"";LCA
a0W3u000009PD7XEAW;"";CDB
a0W3u000009PD7cEAG;"";CDB
a0W3u000009PD7hEAG;"";CDB
a0W3u000009PD7iEAG;"";CDB
a0W3u000009PD7mEAG;"";CDB
a0W3u000009PD7rEAG;"";CDB
a0W3u000009PD7wEAG;"";LCA
a0W3u000009PD81EAG;"";CDB
a0W3u000009PD86EAG;"";CDB
a0W3u000009PD8BEAW;"";LCI
a0W3u000009PD8GEAW;"";CDB
a0W3u000009PD8LEAW;"";CDB
a0W3u000009PD8QEAW;"";CDB
a0W3u000009PD8VEAW;"";CDB
a0W3u000009PD8aEAG;"";CDB
a0W3u000009PD8fEAG;"";LCI
a0W3u000009PD8kEAG;"";LCI
a0W3u000009PD97EAG;"";LCA
a0W3u000009PDDTEA4;"";LCI
a0W3u000009PDDYEA4;"";LCI
a0W3u000009PDDdEAO;"";LCI
a0W3u000009PDDiEAO;"";CDB
a0W3u000009PDDnEAO;"";LCA
a0W3u000009PDDsEAO;"";CDB
a0W3u000009PDDxEAO;"";CDB
a0W3u000009PDE2EAO;"";CDB
a0W3u000009PDE7EAO;"";CDB
a0W3u000009PDECEA4;"";CDB
a0W3u000009PDEHEA4;"";CDB
a0W3u000009PDEMEA4;"";CDB
a0W3u000009PDEREA4;"";CDB
a0W3u000009PDEWEA4;"";CDB
a0W3u000009PDEbEAO;"";CDB
a0W3u000009PDEgEAO;"";CDB
a0W3u000009PDElEAO;"";CDB
a0W3u000009PDEqEAO;"";CDB
a0W3u000009PDF0EAO;"";CDB
a0W3u000009PDF5EAO;"";CDB
a0W3u000009PDFAEA4;"";CDB
a0W3u000009PDFFEA4;"";CDB
a0W3u000009PDFKEA4;"";LCI
a0W3u000009PDFPEA4;"";LCI
a0W3u000009PDFUEA4;"";LCI
a0W3u000009PDFZEA4;"";CDB
a0W3u000009PDFeEAO;"";CDB
a0W3u000009PDFjEAO;"";CDB
a0W3u000009PDFoEAO;"";CDB
a0W3u000009PDFtEAO;"";CDB
a0W3u000009PDFyEAO;"";CDB
a0W3u000009PDG3EAO;"";CDB
a0W3u000009PDG8EAO;"";CDB
a0W3u000009PDGDEA4;"";CDB
a0W3u000009PDGIEA4;"";LCA
a0W3u000009PDGNEA4;"";CDB
a0W3u000009PDGSEA4;"";CDB
a0W3u000009PDHuEAO;"";LCI
a0W3u000009PDI4EAO;"";LCI
a0W3u000009PDQNEA4;"";LCA
a0W3u000009PDQSEA4;"";LCA
a0W3u000009PDQXEA4;"";CDB
a0W3u000009PDQcEAO;"";CDB
a0W3u000009PDQhEAO;"";CDB
a0W3u000009PDQmEAO;"";CDB
a0W3u000009PDQrEAO;"";CDB
a0W3u000009PDQwEAO;"";CDB
a0W3u000009PDR1EAO;"";CDB
a0W3u000009PDR6EAO;"";CDB
a0W3u000009PDRBEA4;"";CDB
a0W3u000009PDRGEA4;"";LCA
a0W3u000009PDRLEA4;"";CDB
a0W3u000009PDRQEA4;"";CDB
a0W3u000009PDRVEA4;"";CDB
a0W3u000009PDRaEAO;"";CDB
a0W3u000009PDRfEAO;"";CDB
a0W3u000009PDRkEAO;"";CDB
a0W3u000009PDRpEAO;"";CDB
a0W3u000009PDRuEAO;"";CDB
a0W3u000009PDRzEAO;"";CDB
a0W3u000009PDS4EAO;"";CDB
a0W3u000009PDS9EAO;"";CDB
a0W3u000009PDSEEA4;"";LCI
a0W3u000009PDSOEA4;"";LCI
a0W3u000009PDSTEA4;"";LCI
a0W3u000009PDSYEA4;"";LCI
a0W3u000009PDSdEAO;"";CDB
a0W3u000009PDSiEAO;"";CDB
a0W3u000009PDSnEAO;"";CDB
a0W3u000009PDSsEAO;"";CDB
a0W3u000009PDSxEAO;"";CDB
a0W3u000009PDT2EAO;"";CDB
a0W3u000009PDT7EAO;"";CDB
a0W3u000009PDaNEAW;"";CDB
a0W3u000009PDaOEAW;"";LCA
a0W3u000009PDaSEAW;"";CDB
a0W3u000009PDaXEAW;"";CDB
